state,city,latitude,longitude
AL,Montgomery,32.361538,-86.279118
AK,Juneau,58.301935,-134.41974
AZ,Phoenix,33.448457,-112.073844
AR,Little,34.736009,-92.331122
CA,Sacramento,38.555605,-121.468926
CO,Denver,39.7391667,-104.984167
CT,Hartford,41.767,-72.677
DC,District,38.913,-77.013
DE,Dover,39.161921,-75.526755
FL,Tallahassee,30.4518,-84.27277
GA,Atlanta,33.76,-84.39
HI,Honolulu,21.30895,-157.826182
ID,Boise,43.613739,-116.237651
IL,Springfield,39.78325,-89.650373
IN,Indianapolis,39.790942,-86.147685
IA,Des,41.590939,-93.620866
KS,Topeka,39.04,-95.69
KY,Frankfort,38.197274,-84.86311
LA,Baton,30.45809,-91.140229
ME,Augusta,44.323535,-69.765261
MD,Annapolis,38.972945,-76.501157
MA,Boston,42.2352,-71.0275
MI,Lansing,42.7335,-84.5467
MN,St,44.95,-93.094
MS,Jackson,32.32,-90.207
MO,Jefferson,38.572954,-92.189283
MT,Helena,46.595805,-112.027031
NE,Lincoln,40.809868,-96.675345
NV,Carson,39.160949,-119.753877
NH,Concord,43.220093,-71.549127
NJ,Trenton,40.221741,-74.756138000000007
NM,Santa,35.667231,-105.964575
NY,Albany,42.659829,-73.781339
NC,Raleigh,35.771,-78.638
ND,Bismarck,48.813343,-100.779004
OH,Columbus,39.962245,-83.000647
OK,Oklahoma,35.482309,-97.534994
OR,Salem,44.931109,-123.029159
PA,Harrisburg,40.269789,-76.875613
RI,Providence,41.82355,-71.422132
SC,Columbia,34,-81.035
SD,Pierre,44.367966,-100.336378
TN,Nashville,36.165,-86.784
TX,Austin,30.266667,-97.75
UT,Salt,40.7547,-111.892622
VT,Montpelier,44.26639,-72.57194
VA,Richmond,37.54,-77.46
WA,Olympia,47.042418,-122.893077
WV,Charleston,38.349497,-81.633294
WI,Madison,43.074722,-89.384444
WY,Cheyenne,41.145548,-104.802042
